x	y	label	key	showSelected1	group
20	-7	all times for region 21-17	all times for region 21-17	21-17	321
20	-7	all times for region 21-18	all times for region 21-18	21-18	322
20	-7	all times for region 21-19	all times for region 21-19	21-19	323
20	-7	all times for region 21-2	all times for region 21-2	21-2	324
20	-7	all times for region 21-20	all times for region 21-20	21-20	325
20	-7	all times for region 21-21	all times for region 21-21	21-21	326
20	-7	all times for region 21-22	all times for region 21-22	21-22	327
20	-7	all times for region 21-23	all times for region 21-23	21-23	328
20	-7	all times for region 21-24	all times for region 21-24	21-24	329
20	-7	all times for region 21-3	all times for region 21-3	21-3	330
20	-7	all times for region 21-4	all times for region 21-4	21-4	331
20	-7	all times for region 21-5	all times for region 21-5	21-5	332
20	-7	all times for region 21-6	all times for region 21-6	21-6	333
20	-7	all times for region 21-7	all times for region 21-7	21-7	334
20	-7	all times for region 21-8	all times for region 21-8	21-8	335
20	-7	all times for region 21-9	all times for region 21-9	21-9	336
20	-7	all times for region 22-1	all times for region 22-1	22-1	337
20	-7	all times for region 22-10	all times for region 22-10	22-10	338
20	-7	all times for region 22-11	all times for region 22-11	22-11	339
20	-7	all times for region 22-12	all times for region 22-12	22-12	340
20	-7	all times for region 22-13	all times for region 22-13	22-13	341
20	-7	all times for region 22-14	all times for region 22-14	22-14	342
20	-7	all times for region 22-15	all times for region 22-15	22-15	343
20	-7	all times for region 22-16	all times for region 22-16	22-16	344
20	-7	all times for region 22-17	all times for region 22-17	22-17	345
20	-7	all times for region 22-18	all times for region 22-18	22-18	346
20	-7	all times for region 22-19	all times for region 22-19	22-19	347
20	-7	all times for region 22-2	all times for region 22-2	22-2	348
20	-7	all times for region 22-20	all times for region 22-20	22-20	349
20	-7	all times for region 22-21	all times for region 22-21	22-21	350
20	-7	all times for region 22-22	all times for region 22-22	22-22	351
20	-7	all times for region 22-23	all times for region 22-23	22-23	352
20	-7	all times for region 22-24	all times for region 22-24	22-24	353
20	-7	all times for region 22-3	all times for region 22-3	22-3	354
20	-7	all times for region 22-4	all times for region 22-4	22-4	355
20	-7	all times for region 22-5	all times for region 22-5	22-5	356
20	-7	all times for region 22-6	all times for region 22-6	22-6	357
20	-7	all times for region 22-7	all times for region 22-7	22-7	358
20	-7	all times for region 22-8	all times for region 22-8	22-8	359
20	-7	all times for region 22-9	all times for region 22-9	22-9	360
20	-7	all times for region 23-1	all times for region 23-1	23-1	361
20	-7	all times for region 23-10	all times for region 23-10	23-10	362
20	-7	all times for region 23-11	all times for region 23-11	23-11	363
20	-7	all times for region 23-12	all times for region 23-12	23-12	364
20	-7	all times for region 23-13	all times for region 23-13	23-13	365
20	-7	all times for region 23-14	all times for region 23-14	23-14	366
20	-7	all times for region 23-15	all times for region 23-15	23-15	367
20	-7	all times for region 23-16	all times for region 23-16	23-16	368
20	-7	all times for region 23-17	all times for region 23-17	23-17	369
20	-7	all times for region 23-18	all times for region 23-18	23-18	370
20	-7	all times for region 23-19	all times for region 23-19	23-19	371
20	-7	all times for region 23-2	all times for region 23-2	23-2	372
20	-7	all times for region 23-20	all times for region 23-20	23-20	373
20	-7	all times for region 23-21	all times for region 23-21	23-21	374
20	-7	all times for region 23-22	all times for region 23-22	23-22	375
20	-7	all times for region 23-23	all times for region 23-23	23-23	376
20	-7	all times for region 23-24	all times for region 23-24	23-24	377
20	-7	all times for region 23-3	all times for region 23-3	23-3	378
20	-7	all times for region 23-4	all times for region 23-4	23-4	379
20	-7	all times for region 23-5	all times for region 23-5	23-5	380
20	-7	all times for region 23-6	all times for region 23-6	23-6	381
20	-7	all times for region 23-7	all times for region 23-7	23-7	382
20	-7	all times for region 23-8	all times for region 23-8	23-8	383
20	-7	all times for region 23-9	all times for region 23-9	23-9	384
20	-7	all times for region 24-1	all times for region 24-1	24-1	385
20	-7	all times for region 24-10	all times for region 24-10	24-10	386
20	-7	all times for region 24-11	all times for region 24-11	24-11	387
20	-7	all times for region 24-12	all times for region 24-12	24-12	388
20	-7	all times for region 24-13	all times for region 24-13	24-13	389
20	-7	all times for region 24-14	all times for region 24-14	24-14	390
20	-7	all times for region 24-15	all times for region 24-15	24-15	391
20	-7	all times for region 24-16	all times for region 24-16	24-16	392
20	-7	all times for region 24-17	all times for region 24-17	24-17	393
20	-7	all times for region 24-18	all times for region 24-18	24-18	394
20	-7	all times for region 24-19	all times for region 24-19	24-19	395
20	-7	all times for region 24-2	all times for region 24-2	24-2	396
20	-7	all times for region 24-20	all times for region 24-20	24-20	397
20	-7	all times for region 24-21	all times for region 24-21	24-21	398
20	-7	all times for region 24-22	all times for region 24-22	24-22	399
20	-7	all times for region 24-23	all times for region 24-23	24-23	400
20	-7	all times for region 24-24	all times for region 24-24	24-24	401
20	-7	all times for region 24-3	all times for region 24-3	24-3	402
20	-7	all times for region 24-4	all times for region 24-4	24-4	403
20	-7	all times for region 24-5	all times for region 24-5	24-5	404
20	-7	all times for region 24-6	all times for region 24-6	24-6	405
20	-7	all times for region 24-7	all times for region 24-7	24-7	406
20	-7	all times for region 24-8	all times for region 24-8	24-8	407
20	-7	all times for region 24-9	all times for region 24-9	24-9	408
20	-7	all times for region 3-1	all times for region 3-1	3-1	409
20	-7	all times for region 3-10	all times for region 3-10	3-10	410
20	-7	all times for region 3-11	all times for region 3-11	3-11	411
20	-7	all times for region 3-12	all times for region 3-12	3-12	412
20	-7	all times for region 3-13	all times for region 3-13	3-13	413
20	-7	all times for region 3-14	all times for region 3-14	3-14	414
20	-7	all times for region 3-15	all times for region 3-15	3-15	415
20	-7	all times for region 3-16	all times for region 3-16	3-16	416
20	-7	all times for region 3-17	all times for region 3-17	3-17	417
20	-7	all times for region 3-18	all times for region 3-18	3-18	418
20	-7	all times for region 3-19	all times for region 3-19	3-19	419
20	-7	all times for region 3-2	all times for region 3-2	3-2	420
20	-7	all times for region 3-20	all times for region 3-20	3-20	421
20	-7	all times for region 3-21	all times for region 3-21	3-21	422
20	-7	all times for region 3-22	all times for region 3-22	3-22	423
20	-7	all times for region 3-23	all times for region 3-23	3-23	424
20	-7	all times for region 3-24	all times for region 3-24	3-24	425
20	-7	all times for region 3-3	all times for region 3-3	3-3	426
20	-7	all times for region 3-4	all times for region 3-4	3-4	427
20	-7	all times for region 3-5	all times for region 3-5	3-5	428
20	-7	all times for region 3-6	all times for region 3-6	3-6	429
20	-7	all times for region 3-7	all times for region 3-7	3-7	430
20	-7	all times for region 3-8	all times for region 3-8	3-8	431
20	-7	all times for region 3-9	all times for region 3-9	3-9	432
20	-7	all times for region 4-1	all times for region 4-1	4-1	433
20	-7	all times for region 4-10	all times for region 4-10	4-10	434
20	-7	all times for region 4-11	all times for region 4-11	4-11	435
20	-7	all times for region 4-12	all times for region 4-12	4-12	436
20	-7	all times for region 4-13	all times for region 4-13	4-13	437
20	-7	all times for region 4-14	all times for region 4-14	4-14	438
20	-7	all times for region 4-15	all times for region 4-15	4-15	439
20	-7	all times for region 4-16	all times for region 4-16	4-16	440
20	-7	all times for region 4-17	all times for region 4-17	4-17	441
20	-7	all times for region 4-18	all times for region 4-18	4-18	442
20	-7	all times for region 4-19	all times for region 4-19	4-19	443
20	-7	all times for region 4-2	all times for region 4-2	4-2	444
20	-7	all times for region 4-20	all times for region 4-20	4-20	445
20	-7	all times for region 4-21	all times for region 4-21	4-21	446
20	-7	all times for region 4-22	all times for region 4-22	4-22	447
20	-7	all times for region 4-23	all times for region 4-23	4-23	448
20	-7	all times for region 4-24	all times for region 4-24	4-24	449
20	-7	all times for region 4-3	all times for region 4-3	4-3	450
20	-7	all times for region 4-4	all times for region 4-4	4-4	451
20	-7	all times for region 4-5	all times for region 4-5	4-5	452
20	-7	all times for region 4-6	all times for region 4-6	4-6	453
20	-7	all times for region 4-7	all times for region 4-7	4-7	454
20	-7	all times for region 4-8	all times for region 4-8	4-8	455
20	-7	all times for region 4-9	all times for region 4-9	4-9	456
20	-7	all times for region 5-1	all times for region 5-1	5-1	457
20	-7	all times for region 5-10	all times for region 5-10	5-10	458
20	-7	all times for region 5-11	all times for region 5-11	5-11	459
20	-7	all times for region 5-12	all times for region 5-12	5-12	460
20	-7	all times for region 5-13	all times for region 5-13	5-13	461
20	-7	all times for region 5-14	all times for region 5-14	5-14	462
20	-7	all times for region 5-15	all times for region 5-15	5-15	463
20	-7	all times for region 5-16	all times for region 5-16	5-16	464
20	-7	all times for region 5-17	all times for region 5-17	5-17	465
20	-7	all times for region 5-18	all times for region 5-18	5-18	466
20	-7	all times for region 5-19	all times for region 5-19	5-19	467
20	-7	all times for region 5-2	all times for region 5-2	5-2	468
20	-7	all times for region 5-20	all times for region 5-20	5-20	469
20	-7	all times for region 5-21	all times for region 5-21	5-21	470
20	-7	all times for region 5-22	all times for region 5-22	5-22	471
20	-7	all times for region 5-23	all times for region 5-23	5-23	472
20	-7	all times for region 5-24	all times for region 5-24	5-24	473
20	-7	all times for region 5-3	all times for region 5-3	5-3	474
20	-7	all times for region 5-4	all times for region 5-4	5-4	475
20	-7	all times for region 5-5	all times for region 5-5	5-5	476
20	-7	all times for region 5-6	all times for region 5-6	5-6	477
20	-7	all times for region 5-7	all times for region 5-7	5-7	478
20	-7	all times for region 5-8	all times for region 5-8	5-8	479
20	-7	all times for region 5-9	all times for region 5-9	5-9	480
20	-7	all times for region 6-1	all times for region 6-1	6-1	481
20	-7	all times for region 6-10	all times for region 6-10	6-10	482
20	-7	all times for region 6-11	all times for region 6-11	6-11	483
20	-7	all times for region 6-12	all times for region 6-12	6-12	484
20	-7	all times for region 6-13	all times for region 6-13	6-13	485
20	-7	all times for region 6-14	all times for region 6-14	6-14	486
20	-7	all times for region 6-15	all times for region 6-15	6-15	487
20	-7	all times for region 6-16	all times for region 6-16	6-16	488
20	-7	all times for region 6-17	all times for region 6-17	6-17	489
20	-7	all times for region 6-18	all times for region 6-18	6-18	490
20	-7	all times for region 6-19	all times for region 6-19	6-19	491
20	-7	all times for region 6-2	all times for region 6-2	6-2	492
20	-7	all times for region 6-20	all times for region 6-20	6-20	493
20	-7	all times for region 6-21	all times for region 6-21	6-21	494
20	-7	all times for region 6-22	all times for region 6-22	6-22	495
